pc11_state_id_shrug,pc11_district_id_shrug,district_name_shrug,LGD State Name,LGD District Code,LGD District Name,Census 2001 Code,Census 2011 Code
34,637,Karaikal,,0,,,
29,583,Bangalore Rural,,0,,,
34,634,Yanam,,0,,,
34,636,Mahe,,0,,,
1,0,,,0,,,
1,14,Anantnag,Jammu And Kashmir,1,Anantnag,6,14
1,2,Badgam,Jammu And Kashmir,2,Budgam,4,2
1,8,Baramula,Jammu And Kashmir,3,Baramulla,2,8
1,16,Doda,Jammu And Kashmir,4,Doda,9,16
1,21,Jammu,Jammu And Kashmir,5,Jammu,13,21
1,4,Kargil,Ladakh,6,Kargil,8,4
1,7,Kathua,Jammu And Kashmir,7,Kathua,14,7
1,1,Kupwara,Jammu And Kashmir,8,Kupwara,1,1
1,3,Leh(Ladakh),Ladakh,9,Leh Ladakh,7,3
1,5,Punch,Jammu And Kashmir,10,Poonch,11,5
1,12,Pulwama,Jammu And Kashmir,11,Pulwama,5,12
1,6,Rajouri,Jammu And Kashmir,12,Rajouri,12,6
1,10,Srinagar,Jammu And Kashmir,13,Srinagar,3,10
1,19,Udhampur,Jammu And Kashmir,14,Udhampur,10,19
2,30,Bilaspur,Himachal Pradesh,15,Bilaspur,8,30
2,23,Chamba,Himachal Pradesh,16,Chamba,1,23
2,28,Hamirpur,Himachal Pradesh,17,Hamirpur,6,28
2,24,Kangra,Himachal Pradesh,18,Kangra,2,24
2,34,Kinnaur,Himachal Pradesh,19,Kinnaur,12,34
2,26,Kullu,Himachal Pradesh,20,Kullu,4,26
2,25,Lahul & Spiti,Himachal Pradesh,21,Lahaul And Spiti,3,25
2,27,Mandi,Himachal Pradesh,22,Mandi,5,27
2,33,Shimla,Himachal Pradesh,23,Shimla,11,33
2,32,Sirmaur,Himachal Pradesh,24,Sirmaur,10,32
2,31,Solan,Himachal Pradesh,25,Solan,9,31
2,29,Una,Himachal Pradesh,26,Una,7,29
3,49,Amritsar,Punjab,27,Amritsar,2,49
3,46,Bathinda,Punjab,28,Bathinda,14,46
3,45,Faridkot,Punjab,29,Faridkot,13,45
3,40,Fatehgarh Sahib,Punjab,30,Fatehgarh Sahib,8,40
3,43,Firozpur,Punjab,31,Ferozepur,11,43
3,35,Gurdaspur,Punjab,32,Gurdaspur,1,35
3,38,Hoshiarpur,Punjab,33,Hoshiarpur,5,38
3,37,Jalandhar,Punjab,34,Jalandhar,4,37
3,36,Kapurthala,Punjab,35,Kapurthala,3,36
3,41,Ludhiana,Punjab,36,Ludhiana,9,41
3,47,Mansa,Punjab,37,Mansa,15,47
3,42,Moga,Punjab,38,Moga,10,42
3,44,Muktsar,Punjab,39,Sri Muktsar Sahib,12,44
3,39,Shahid Bhagat Singh Nagar,Punjab,40,Shahid Bhagat Singh Nagar,6,39
3,48,Patiala,Punjab,41,Patiala,17,48
3,51,Rupnagar,Punjab,42,Rupnagar,7,51
3,53,Sangrur,Punjab,43,Sangrur,16,53
4,55,Chandigarh,Chandigarh,44,Chandigarh,1,55
5,64,Almora,Uttarakhand,45,Almora,9,64
5,63,Bageshwar,Uttarakhand,46,Bageshwar,8,63
